symbol,company_name,longBusinessSummary,industry,sector,country,is_rated_obligor,totalDebt_usd,totalRevenue_usd,Agency Rating,cb_rating,CB pd
0257.HK,China Everbright Environment Group Limited,"China Everbright Environment Group Limited, an investment holding company, provides environmental solutions worldwide. The company's Environmental Energy Project Construction and Operation segment constructs and operates food and kitchen waste treatment, leachate and fecal treatment, sludge treatment and disposal, fly ash landfill, medical waste, and solid waste treatment projects, as well as waste-to-energy and methane-to-energy plants. It also provides integrated urban, waste sorting, technical consultancy and engineering design, renewable resources utilization, and sanitation operation services. Its Greentech Project Construction and Operation segment constructs and operates integrated biomass utilization, hazardous and solid waste treatment, and solar energy and wind power projects, as well as offers environmental remediation services. The company's Environmental Water Project Construction and Operation segment constructs, upgrades, and operates wastewater treatment plants; water supply and reusable water treatment plants; and sponge city construction, sludge treatment and disposal, leachate treatment, river-basin ecological restoration, and wastewater source heat pump projects. It also researches and develops water environment technologies and engineering projects. Its Others segment conducts environmental protection technology research and development projects; provides environmental related technological, and protection project equipment construction and installation services; designs environmental protection projects; and sells related equipment. It also collects and treats municipal wastes by mechanical and biological technology; and manufactures environmental protection equipment. The company was formerly known as China Everbright International Limited and changed its name to China Everbright Environment Group Limited in September 2020. China Everbright Environment Group Limited was incorporated in 1961 and is headquartered in Hong Kong, Hong Kong.",Waste Management,Industrials,Hong Kong,False,11295246116.386826,3510515452.5457597,,BBB+,0.0015
0288.HK,WH Group Limited,"WH Group Limited, an investment holding company, produces and sells packaged meats, pork, and hogs in China, North America, and Europe. It operates through Packaged Meats, Pork, and Others segments. The company is involved in production, wholesale, and retail sale of low temperature and high temperature meat products; hog farming, slaughtering, and wholesale and retail sale of fresh and frozen pork; slaughtering, production, and sale of poultry; and sale of ancillary products and services, such as logistics and supply chain management services, flavoring ingredients and natural casings, condiments, biological pharmaceutical materials, and packaging materials. It also engages in the operation of finance and property development companies, and a chain of retail food stores; and livestock breeding. The company was founded in 1958 and is headquartered in Kowloon, Hong Kong.",Packaged Foods,Consumer Defensive,Hong Kong,False,4123000064.0,28025999360.0,,BBB+,0.0015
0291.HK,China Resources Beer (Holdings) Company Limited,"China Resources Beer (Holdings) Company Limited, an investment holding company, engages in the manufacture, distribution, and sale of alcoholic beverages in Mainland China. It offers beer and baijiu products under the Guizhou and Jinsha Huisha brands. The company was formerly known as China Resources Enterprise, Limited and changed its name to China Resources Beer (Holdings) Company Limited in October 2015. The company is based in Wan Chai, Hong Kong. China Resources Beer (Holdings) Company Limited operates as a subsidiary of CRH (Beer) Limited.",Beverages - Brewers,Consumer Defensive,Hong Kong,False,502583806.12235564,5608298065.617227,,BBB,0.002
0293.HK,Cathay Pacific Airways Limited,"Cathay Pacific Airways Limited, together with its subsidiaries, offers international passenger and air cargo transportation services. The company provides airline operations, including catering, cargo terminal operations, ground handling services, and commercial laundry operations, as well as scheduled services. The company operates in the Chinese Mainland, Hong Kong, Taiwan, Japan, Korea, the Americas, the Southeast Asia and the Oceania, Europe, the South Asia, the Middle East, and Africa. As of 31st December 2025, it operates 237 aircraft and 103 new passenger and freighter aircraft. Cathay Pacific Airways Limited was founded in 1946 and is headquartered in Lantau Island, Hong Kong.",Airlines,Industrials,Hong Kong,False,7538921807.750301,14894667464.428543,,BBB+,0.0015
0303.HK,Vtech Holdings Limited,"Vtech Holdings Limited, together with its subsidiaries, designs, manufactures, and distributes electronic products in Hong Kong, North America, Europe, the Asia Pacific, and internationally. The company offers electronic learning toys for infancy through toddler, and preschool under the Vtech and LeapFrog brands; platform products, including motion-based learning system, smartwatches, interactive reading systems, learning globe, educational tablets, activity desks, and handheld communication devices, as well as educational and fun apps and games. It also provides telecommunication products, such as residential, commercial, and smart phones under the Vtech, Gigaset, snom, AT&T brands; and other telecommunication products, including baby monitors, handsets, and integrated access devices. In addition, the company offers contract manufacturing services for customers in the areas of professional audio equipment, hearables, Internet of Things, and medical and health products. Further, it provides property holding, and group financing and procurement services; develops broadband connectivity software; manufactures consumer electronic products; sells telecommunication and electronic products; and manufactures and sells plastic products. The company was founded in 1976 and is headquartered in Tai Po, Hong Kong.",Communication Equipment,Technology,Hong Kong,False,126800000.0,2027500032.0,,BBB+,0.0015
0305.HK,Wuling Motors Holdings Limited,"Wuling Motors Holdings Limited, an investment holding company, engages in trading and manufacturing of automotive components, vehicles' power supply systems,engines, and specialized vehicles in the People's Republic of China and internationally. It operates through Vehicles' Power Supply Systems; Automotive Components and Other Industrial Services; Commercial Vehicles Assembly; and Others segments. It offers specialized vehicles, which includes new energy, specialized vehicles, and non-road vehicles; and powertrain systems including plug-in hybrid electric drive system, range-extender, driving motor, and motor controllers. It also provides a range of auto parts comprising chassis products, such as gear, rear torsion beam and independent suspension assembly, muffler exhaust assembly, three-way catalytic converter package, front and rear sub-frame, micro commercial electric drive bridge, integrated bridge, rear axle final drive, coaxial powertrain, and integral coaxial bridge; and interior and exterior decoration products including front and rear seats, door trim, cockpit assembly, and front and rear bumper assembly. In addition, it offers stamping and welding modules, which include roof and engine hood panels, rear lower body, insulator, side door panels, cargo compartment assembly, pillar thermal expansion fittings, and main bolster; and electronic and electrical systems, such as combination, multifunctional and electric seat switches, new energy electric compressor, compressor assembly, and double-gun AC charging pile. Further, the company provides autonomous driving technology including motor and body control, parking, electronic steering, and a service brake system. It also engages in trading steel; and providing the provision of water and power supply services. The company was incorporated in 1992 and is headquartered in Central, Hong Kong. Wuling Motors Holdings Limited operates as a subsidiary of Wuling (Hong Kong) Holdings Limited.",Auto Parts,Consumer Cyclical,Hong Kong,False,376795954.69016314,1218091131.2700772,,BB,0.01
0316.HK,Orient Overseas (International) Limited,"Orient Overseas (International) Limited, an investment holding company, provides container transport and logistics services in Asia, Europe, North and South America, Australia, and Africa. It offers supply chain management services; containerized shipping services in various trade lanes comprising Trans-Pacific, Trans-Atlantic, Asia/Europe, Asia/ Australia, and Intra-Asia trades; and integrated services. The company is involved in shipping and logistics software application development; container transport, equipment owning and leasing, container depot and warehousing, portfolio investment, trucking, ship owning and chartering, terminal operating, cargo consolidation and forwarding, transportation and freight agency, liner agency, property owning, and ship management and vessels operation businesses; and provision of corporate services. In addition, it offers AI and blockchain digital data on network applications, and platform design services. The company was incorporated in 1986 and is based in Wan Chai, Hong Kong. Orient Overseas (International) Limited operates as a subsidiary of Faulkner Global Holdings Limited.",Marine Shipping,Industrials,Hong Kong,False,1279448064.0,9722493952.0,,BBB,0.002
0327.HK,PAX Global Technology Limited,"PAX Global Technology Limited, an investment holding company, develops and sells electronic funds transfer point-of-sale products in Hong Kong, the People's Republic of China, the United States, and Italy. The company offers e-payment terminal products that include android smart e-payment solutions, unattended solutions, classic e-payment solutions, commercial EPOS solution, and other products; android smartPOS; classic POS; and android smart tablet. It also provides MAXSTORE, a cloud-based Software as a Service platform that offers one-stop terminal management and value-added services; CyberLab, a payment application cloud test platform that provides professional one-stop online debugging and testing services; AirLauncher, an android launcher; and GoInsight, a data platform for real-time device intelligence. In addition, the company offers maintenance and installation services. PAX Global Technology Limited was founded in 2000 and is headquartered in Wan Chai, Hong Kong.",Business Equipment & Supplies,Industrials,Hong Kong,False,7840728.7400555145,749101052.7541968,,BB+,0.006
034020.KS,"Doosan Enerbility Co., Ltd.","Doosan Enerbility Co., Ltd. operates as an energy company in South Korea, the Americas, Asia, the Middle East, Europe, and internationally. The company offers new energy solutions, including wind power solutions, gas turbines for power generation, small modular reactors, hydrogen energy, and energy storage systems. It also engages in the manufacture of power generation equipment, including boilers, turbines, and generators; engineering, procurement, and construction of thermal power plants; general construction; seawater desalination; 3D printing technology; and castings and forgings for power plants, marine vessels, steelworks, molds and tool steel, and other various industrial facilities. In addition, it is involved in construction works, including roads, railways, bridges, industrial complexes and ports, multipurpose buildings, apartments, business facilities, educational and research facilities, and thermal and combined cycle power plants. Further, the company provides professional and financial investment services, software and system engineering, and construction equipment; produces and sells fuel cells; and operates resort and golf clubs. Doosan Enerbility Co., Ltd. was incorporated in 1962 and is headquartered in Changwon-si, South Korea.",Specialty Industrial Machinery,Industrials,South Korea,False,4573357708.751282,11426585292.770533,,BB+,0.006
0346.HK,Yanchang Petroleum International Limited,"Yanchang Petroleum International Limited, an investment holding company, engages in the supply and procurement operation of oil related products in the People's Republic of China, Canada, Hong Kong, and internationally. The company operates through Exploration, Exploitation and Operation Business; and Supply and Procurement Business segments. It engages in the wholesale, retail, storage, and distribution of refined oil. The company also acquires, explores for, exploits, develops, and produces crude oil and natural gas, as well as engages in the fuel oil and oil related product trading business. It owns interests in oilfield blocks located in Canada. The company was formerly known as Sino Union Energy Investment Group Limited and changed its name to Yanchang Petroleum International Limited in May 2012. The company was incorporated in 2001 and is headquartered in Causeway Bay, Hong Kong. Yanchang Petroleum International Limited is a subsidiary of Yanchang Petroleum Group (Hong Kong) Co., Limited.",Oil & Gas Integrated,Energy,Hong Kong,False,95395852.92441614,2210586328.853134,,BB,0.01
0384.HK,China Gas Holdings Limited,"China Gas Holdings Limited, an investment holding company, operates as an energy supplier and service provider in the People's Republic of China. It operates through Sales of Natural Gas; Gas Connection; Engineering Design and Construction; Sales of Liquefied Petroleum Gas (LPG); Value-Added Services; Other Businesses; and Zhongyu Energy segments. The company invests in, constructs, and operates city and town gas pipelines, gas terminals, storage and transportation facilities, and gas logistics systems; delivers natural gas and LPG to residential, industrial, and commercial users; builds and operates compressed natural gas/liquefied natural gas fueling stations for vehicles; and develops technologies related to natural gas and LPG. It is also involved in the investment in petrochemical facilities of storage and transportation; producing, storing, and selling of LPG and chemical products, as well as propane and butane; CBM business; exploration and production of coal bed methane; and gas station administration services. In addition, the company offers treasury, management, consultancy, and procurement services; and engages in wholesale and retail of household equipment, electric appliances, kitchen appliances, and others. Further, it is involved in the development and investment in clean energy; wholesale and trading of natural gas and liquefied natural gas; and sale of electricity, as well as invests in construction of city gas pipeline network, petrochemical, and natural gas projects. Additionally, the company engages in the distribution of heating; securities investment; software development and consulting; and provision of construction services, as well as rental and inspection services for safety production. China Gas Holdings Limited was incorporated in 1995 and is headquartered in Wan Chai, Hong Kong.",Utilities - Regulated Gas,Utilities,Hong Kong,False,8043394756.652569,10030536182.323318,,BBB,0.002
0425.HK,Minth Group Limited,"Minth Group Limited, an investment holding company, designs, develops, manufactures, processes, and sells automobile body parts and moulds of passenger cars. The company manufactures, develops, and sells motor systems for electric vehicles, as well as metal molds, automobile body parts; automobile body parts manufacturing equipment, automation machines, software, production lines, and automobile drives; and offers bookkeeping services. It also engages in the import and export trading, wholesale of packaging materials, logistics, and technology import activities; manufacture and sale of electrical and electronic equipment; production, operation trading, and import and export trade of deformed aluminum alloys, aluminum profiles, and aluminum extrusion moulds; and research, design, development, sales, import, and export of robots. In addition, the company provides automobile glass, light metals casting, customer, research and market development, general business, business management, nursery, internet information, trading, technology service and development, market development, non-ferrous metal smelting, power supply, engineering, management and technical consulting, properties services management, retail sales, and consulting services, as well as act as an agent for sales of automobile body parts and purchase of raw materials. Further, it involved in the design and production of civil aircraft parts; manufacturing of photovoltaic panels; research, development, manufacturing, sales, and after-sales service of energy vehicle drive systems and parts; and manufacture of other parts and accessories for motor vehicles. The company operates in the People's Republic of China, the United States, Japan, Thailand, Germany, Serbia, Mexico, the United Kingdom, the Republic of Korea, France, the Czech Republic, Canada, and Poland. Minth Group Limited was incorporated in 2005 and is headquartered in Taipei City, Taiwan.",Auto Parts,Consumer Cyclical,Taiwan,False,1334917470.5039086,3799969337.4775467,,BBB+,0.0015
0512.HK,Grand Pharmaceutical Group Limited,"Grand Pharmaceutical Group Limited, an investment holding company, engages in the research and development, manufacture, and sale of pharmaceutical preparations and medical devices, biotechnology and healthcare products, and pharmaceutical raw materials. The company offers respiratory, ophthalmology, cerebro-cardiovascular emergency, and biotechnology related products. It manufactures and sells pharmaceutical, taurine, agrochemicals, chemical medicine, and amino acid series products. In addition, the company provides bio-pesticides and additives; disposal surgical products; and Chinese medicine, and health food products. The company has a strategic cooperation agreement with the Eye Hospital of Wenzhou Medical University in the field of ophthalmic drug research and development. It operates in the People's Republic of China, the rest of Asia, the United States, Europe, and internationally. The company has a strategic partnership with the University of Hong Kong for the research and development of drugs in the field of anti-infection and the industrialization of the research results. The company was formerly known as China Grand Pharmaceutical and Healthcare Holdings Limited. The company was incorporated in 1995 and is based in Central, Hong Kong.",Drug Manufacturers - Specialty & Generic,Healthcare,Hong Kong,False,602687317.9638044,1566853714.4944909,,BBB,0.002
0522.HK,ASMPT Limited,"ASMPT Limited, an investment holding company, engages in the design, manufacture, and marketing of machines, tools, and materials used in the semiconductor and electronics assembly industries internationally. The company operates in two segments: Semiconductor Solutions and Surface Mount Technology Solutions. The company offers ASMPT semiconductor solutions includes advanced packing, such as laser dicing & grooving, fan out, hybrid bonding, thermos compress bonding, and die bonding; IC and discrete, including silver sintering, wire bonding, metrology, encapsulation, and singulation, trim & form; CMOS image sensor, such as inline solution, lens holder attach, curing, automated optical inspection, cleaning, active alignment, and test and calibration; and LED/ Photonics, includes FOL. It also offers ASMP SMT solutions, includes printing, inspection, placement, storage, and software. In addition, the company offers critical manufacturing of IoT data platforms. Further, it provides agency and logistics services. The company was formerly known as ASM Pacific Technology Limited and changed its name to ASMPT Limited in June 2022. ASMPT Limited was founded in 1975 and is headquartered in Singapore.",Semiconductor Equipment & Materials,Technology,Singapore,False,542845241.4111118,1874886038.7253416,,BBB-,0.003
0590.HK,Luk Fook Holdings (International) Limited,"Luk Fook Holdings (International) Limited, an investment holding company, engages in sourcing, designing, wholesaling, trademark licensing, and retailing various gold and platinum jewelry, and gem-set jewelry products in Hong Kong and internationally. The company offers ring and pair rings, necklaces, pendants, earrings, bangles and bracelets, charms, figurines, accessories, and other products of various materials comprising diamond, gold, platinum, jadeite, gemstone, pearl, and silver materials. It also provides authentication of gemstones; gold bullion trading services; management services to group companies and wholesale distribution of gold and jewelry products; and software development and services related to internet. In addition, the company wholesales polished diamonds; offers trademark licensing, brand building, promotion of quality examination services, as well as provides handling services on diamond subcontracting and diamonds export custom services; and engages in electronic retailing of gold and jewelry products, as well as provides management services. Luk Fook Holdings (International) Limited was founded in 1991 and is headquartered in Sha Tin, Hong Kong.",Luxury Goods,Consumer Cyclical,Hong Kong,False,361615675.9067528,1879729480.6210191,,BBB,0.002
0596.HK,Inspur Digital Enterprise Technology Limited,"Inspur Digital Enterprise Technology Limited, an investment holding company, engages in management software development, cloud services, and sale of Internet of Things (IoT) solutions in the People's Republic of China. It operates through Cloud Services, Management Software, and Internet of Things (IoT) Solution segments. It is also involved in the sale of information technology peripherals and software. The company was formerly known as Inspur International Limited and changed its name to Inspur Digital Enterprise Technology Limited in January 2023. The company was founded in 1998 and is based in Kowloon Bay, Hong Kong.",Software - Application,Technology,Hong Kong,False,122005907.70054147,1078992224.3014586,,BB+,0.006
0607.HK,Fullshare Holdings Limited,"Fullshare Holdings Limited, an investment holding company, manufactures and sells mechanical transmission equipment and gear products in the People's Republic of China, the United States, Europe, Australia, and internationally. It operates in five segments: Properties; Tourism; Investment and Financial Services; Healthcare, Education, and Others; and New Energy. The Properties segment invests in, develops, and sells properties, including shopping malls, carparks, and commercial properties; and provides construction related services. The Tourism segment operates hotels and resorts; and sells tourist goods, as well as provides related services. The Investment and Financial Services segment holds and invests in various investments and financial products, such as listed and unlisted securities, bonds, funds, derivatives, structured, and other treasury products; and offers investment and financial related consulting services which include corporate finance, investment management, equity capital markets, and money lending services to listed companies, high net-worth individuals, and institutional and corporate clients. The Healthcare, Education, and Others segment sells healthcare, education, and other products, as well as provides related services. The New Energy segment manufactures and sells mechanical transmission equipment products, such as wind, industrial, and rail transportation gear transmission equipment products. This segment is also involved in the trading of goods. It also manufactures and sells gear box and fittings products. The company was formerly known as Warderly International Holdings Limited and changed its name to Fullshare Holdings Limited in October 2014. Fullshare Holdings Limited was incorporated in 2002 and is headquartered in Admiralty, Hong Kong.",Specialty Industrial Machinery,Industrials,Hong Kong,False,1748223116.1190612,3006715380.351684,,BB,0.01
0610.HK,Wai Kee Holdings Limited,"Wai Kee Holdings Limited, an investment holding company, operates in the construction and infrastructure industries in Hong Kong and the People's Republic of China. It operates through Construction, Sewage Treatment and Steam Fuel; Construction Materials; Quarrying; and Property Development and Investment, Toll Road, Investment and Asset Management segments. The company engages in the construction of civil engineering and building projects; and operation of sewage treatment and steam fuel plants. It also produces and sells concrete and quarry products; and produces, sells, and lays asphalt. In addition, the company is involved in the provision of financial and transportation services; manufacturing, trading, and delivery of concrete; trading of construction materials; provision of electrical, mechanical, marine, civil, and environmental engineering, as well as fitting out, improvement, and alteration works for buildings; dealing in securities; and advising on securities and asset management. Wai Kee Holdings Limited was founded in 1970 and is headquartered in Tsim Sha Tsui, Hong Kong.",Engineering & Construction,Industrials,Hong Kong,False,86853033.08326417,1778334741.4603457,,BBB,0.002
0636.HK,KLN Logistics Group Limited,"KLN Logistics Group Limited, an investment holding company, provides logistics services in Hong Kong, Mainland China, the rest of Asia, the Americas, Europe, the Middle East, Africa, and the Oceania. The company operates through Integrated Logistics and International Freight Forwarding segments. It offers integrated logistics services, including storage, inventory, value-added, trucking and distribution, returns management, and various ancillary services, as well as leases offices and warehouses. The company also provides international freight forwarding services to transport cargo using air freight, ocean freight, rail logistics, and cross-border road freight forwarding services. In addition, it offers express services; aviation ground; operates warehouses; transportation and distribution services; supply chain; pharmaceutical logistics; and project cargo freight forwarding, document storage, management, and trading services. Further, the company operates as an insurance broker and general merchant; provides courier services; and operates seaport. It serves fashion and lifestyle, electronics and technology, food and beverage, fast-moving consumer goods trading and distribution, food servicing, wines and spirits, industrial and material sciences, automotive, art logistics, and pharmaceutical and healthcare industries. The company was formerly known as Kerry Logistics Network Limited and changed its name to KLN Logistics Group Limited in April 2025. KLN Logistics Group Limited was founded in 1981 and is headquartered in Kwai Chung, Hong Kong. KLN Logistics Group Limited is a subsidiary of S.F. Holding Co., Ltd.",Integrated Freight & Logistics,Industrials,Hong Kong,False,1486792978.4216094,7186198543.561819,,BBB-,0.003
0661.HK,China Daye Non-Ferrous Metals Mining Limited,"China Daye Non-Ferrous Metals Mining Limited, an investment holding company, engages in the mining and processing of mineral ores in China, Hong Kong, Kyrgyzstan, and the Republic of Mongolia. The company explores for copper, gold, silver, iron, and molybdenum deposits. It is also involved in research and development activities; and selling/trading of metal products. The company is headquartered in Kowloon, Hong Kong. China Daye Non-Ferrous Metals Mining Limited operates as a subsidiary of Daye Nonferrous Metals Group Holdings Co., Ltd.",Copper,Basic Materials,Hong Kong,False,2430757617.4370995,9752095560.974476,,BB+,0.006
